perplex |  v. 使...困惑, 使...更复杂, 使...为难
flare |  n. 闪光, 闪耀, [天]耀斑 // v. 闪光, 闪耀
dot |  n. 小圆点,少量,小东西 // vt. 作小点记号,点缀 // vi. 作小点记号 // [计算机] 点
assumption |  n. 假定,设想,担任(职责等),假装
want |  n. 缺乏, 贫困, 欲望, 需要, 不足 // vi. 要, 希望, 必须 // vt. 缺少, 渴望, 喜欢, 应该
lofty |  adj. 高的, 高超的, 傲慢的
emergency |  adj. 紧急的 // n. 紧急情况,突发事件
east |  adj. 东方的 // adv. 向东方 // n. 东, 东方
tennis |  n. 网球
spot |  n. 污点, 地点, 斑点; 职位 // adj. 当场的, 现实买卖的 // v. 使沾上污点, 认出, 用灯光照射
especially |  adv. 特别,尤其
gut |  n. (复)胆量, 魄力, 肠, 肠线 // vt. 取出内脏, 毁坏(建筑物, 房间等)的内部 // adj. 本能的, 利害攸关的
reception |  n. 接待,招待会,接收,欢迎,接受
typhoon |  n. 台风
prejudice |  n. 偏见,成见,伤害 // v. 使...存偏见,使...有成见,伤害
weed |  n. 杂草,菸草 // vi. 除草 // vt. 除草,摆脱
beside |  prep. 在...旁边,与…相比
employee |  n. 雇员
management |  n. 管理(层),经营,处理
possibility |  n. 可能性,可能的事情,潜在的价值
pair |  n. 双,对,副 // vt.& vi. 使...成对,配对
under |  prep. 在...下,在...内,在...控制下,低于 // adv. 在...下,在昏迷中,淹没地 // adj. 下面的,从属的,少于的
goodness |  n. 善良, 美德，精华 // int. 天哪
homework |  n. 家庭作业
abuse |  n.滥用； 恶习； 侮辱； 恶言 // vt.滥用； 虐待； 辱骂
status |  n. 地位, 身份, 情形, 状况
stretch |  n. 伸展,张开 // adj. 可伸缩的 // vt. &vi. 伸展,张开,延伸
nine |  num.&amp;n. 九 // pron.&amp;adv. 九(个,只...)
civilian |  adj. 平民的 // n. 罗马法专家,平民
physician |  n. 内科医生
diagram |  n. 图解,图表 // vt. 用图解法表示
hobby |  n. 业余爱好
label |  n.标签； 称标记，符号； [建] 门或窗户上面的线脚 // vt.贴标签于； 把…称为； 把…列为； [化]用放射性元素使（元素或原子等）示踪
pendulum |  n. 摆, 钟摆，摇摆不定的事态（或局面）
many |  n. 许多人,许多 // adj. 许多的 // pron. 许多人或物
metropolitan |  n. 大都市的居民,大主教,母国的居民 // adj. 大都市的,大主教区的,母国的
nursery |  n. 托儿所
bus |  n. 公共汽车
rapid |  adj. 迅速的,急促的 // n. 急流
pride |  n. 高傲,自豪,自尊,一群狮子 // vt. 以...自豪
capable |  adj. 有能力的，足以胜任的, 有...倾向的
masterpiece |  n. 杰作
busy |  adj. 忙的,杂乱的 // vt. 使忙于 // vi. 忙
contend |  vi. 奋斗,斗争,辩论 // vt. 坚持认为,竞争
panorama |  n. 全景，全景画，全景照片，概观，一连串景象或事物
identical |  adj. 相同的,同一的
scent |  n. 气味,香味,痕迹 // vt. 闻出,发觉,使充满味道,得到...的暗示 // vi. 嗅闻,循着遗臭追踪,散发气味
beneficial |  adj. 有益的,有利的
draft |  n. 草稿,草图,汇票，徵兵 // vt. 起草,征兵,选秀 // adj. 酝酿中的
hurricane |  n. 飓风,飓风般猛烈的东西 // adj. 有防风罩的
probe |  n. 探针,调查,探测器 // vt. 用探针测,详细调查 // vi. 详细调查
heel |  n. 脚后跟 // v. 倾侧
executive |  n.总经理； 行政部门； [计算机]执行指令 // adj.执行的； 管理的； 政府部门的
vaccine |  n. 疫苗
exceed |  vt. 超过, 胜过, 超出界限 // vi. 领先
cheer |  n. 愉快,激励,欢呼 // vt. 加油,鼓舞,快活起来 // vi. 使振奋,欢呼
clergy |  n. [总称]牧师, 神职人员
eight |  num. 八 // pron. 八(个,只...)
regular |  adj. 有规律的,有规则的,整齐的,正规的
socialism |  n. 社会主义
enquire |  =inquire // v. 询问, 调查
bore |  vbl. 忍受(动词bear的过去式) // n. 令人讨厌的人,枪膛,孔,井眼,枪管口径,涌潮 // vt. 使感到厌烦,钻孔,挖 // vi. 挖掘,开凿
dare |  n. 敢, 挑战 // aux. 敢 // vi. 敢 // vt. 敢于, 勇于面对
fracture |  n. 破碎,骨折 // vt. 破碎,破裂 // vi. 断裂
dress |  n. 女装,服装,连衣裙 // vt. &vi. 穿著 // adj. 正式的(衣服)
shoulder |  n. 肩膀, 角度, 交接处 // vt. 肩负,承担,用肩推挤 // vi. 用肩推挤
drought |  n. 干旱
challenge |  n.挑战； 盘问； 质疑； 怀疑 // vt.质疑； 向…挑战 // vi.提出挑战，要求竞赛（或竞争）； 驳斥
valuable |  adj. 贵重的, 有价值的 // n. (pl.)贵重物品
crisp |  adj. 脆的,易碎的 // n. 薯片,松脆物 // vt. &vi. 使发脆
zebra |  n. 斑马,斑马线
paradigm |  n. 例子,模范,词形变化表
patience |  n. 耐心,毅力
bless |  vt. 赐福,祈佑,称颂上帝,使神圣,赋予
tram |  n. （英）有轨电车,矿车,煤车,缆车 // (复数）trams:有轨电车轨道 // vt. 用缆车,电车等运输
royalty |  n. 皇家, 皇族 // n. 版税
allowance |  n. 限额，定量 // n. 津贴,零用钱
breath |  n. 呼吸,气息,微风,迹象,精神,一种说话的声音
posture |  n. 姿势,态度,情形 // vt. 作...姿势 // vi. 做姿势,摆架子
marine |  n. (海军)士兵或军官, 海景画 // adj. 海的,海事的,船舶的,航海的
care |  n. 小心,照料,忧虑，慎思，焦虑因素 // vi. 关心,照顾,喜爱 // vt. 介意,希望 // abbr.=Cooperative for American Remittances to Europe 汇款到欧洲合作社
sanction |  n. 核准,处罚,约束力 // v. 制定制裁规则,认许,核准
trench |  n. 沟, 沟渠 // v. (挖)沟, (挖)战壕
connection |  n. 联系,关系,连接,亲戚
dinosaur |  n. 恐龙 // n.(俚)过时、落伍的人或事物
fellow |  n. 朋友,家伙,同类,校董,研究生 // adj. 同类的,同事的,同伴的
general |  n. 一般,将军,大体 // adj. 一般的,普遍的 // v. 指挥,作...将军
skirt |  n.裙子； 边缘； （连衣裙、外衣等的）下摆； （车辆或机器基座的）挡板 // vt.& vi.位于…的边缘； 沿…的边缘走； 绕开； 避开,避开
barbecue |  n. 烤肉 // v. 烤肉
invasion |  n. 侵入, 侵略
parachute |  n. 降落伞,翼膜,缓降物 // vi. &vt. 跳伞
overcoat |  n. 外套, 大衣
bother |  vt. 烦扰 // vi. 烦扰,操心 // n. 烦扰
me |  pron. 我(宾格)
implication |  n. 暗示,含意
forthcoming |  adj. 即将到来的
scene |  n. 场,景,情景
comb |  n. 梳子,梳状物,鸡冠,蜂巢 // vt. 梳理,清理,搜查,用梳子 // vi. 搜寻
instrumental |  adj. 仪器的,器具的,可做为手段的
sentiment |  n. 感情, 情趣, 意见，观点, 多愁善感
chase |  n. 追求,狩猎 // v. 追捕,追逐,在金属上打花样
instinct |  n. 本能, 天性, 直觉
skeleton |  n. 骨架,纲要,骨骼,骨瘦如柴的人或动物,家丑 // adj. 骨骼的
big |  adj. 大的,重要的 // adv. 以郑重的方式,大数量 // n. 杰出的组织和个人
fright |  n. 惊骇, 吃惊
succession |  n. 连续, 继承权, 继位
weight |  n. 重量,体重,重担 // vt. 使...负重, 使倾斜
bargain |  n. 交易,买卖,物美价廉的东西 // vi. 议价 // vt. 议价交易
rape |  n. 抢夺,掠夺,强奸 // vt. 掠夺,抢夺,强奸
inherent |  adj. 内在的, 固有的
withhold |  vt. &vi. 扣留,保留,抑制
comedy |  n. 喜剧,滑稽, 幽默事件
principle |  n. 原则, 原理, 主义, 信念
stationery |  n. 文具,信笺
supermarket |  n. 超级市场
engineering |  n. 工程(学),工程技术
attractive |  adj. 有吸引力的, 引起注意的
sniff |  n. 以鼻吸气,吸入的东西,吸气(声),一股气味 // vi. 用鼻吸气,嗤之以鼻,找出 // vt. 用鼻吸气,以轻蔑的口吻说,嗅到
statute |  n. 法令, 法规
flat |  adj. 平坦的, 单调的, 扁平的 // adv. 平直地, 干脆地 // n. [英]公寓 // vt. 变平 // vi. 降调
arrogant |  adj. 傲慢的, 自大的
numerous |  adj. 为数众多的,许多
cheek |  n.脸颊，脸蛋； 无礼而放肆的行为，厚颜； 半边屁股； 两侧相对的物体 // vt.对…无礼地说话
solidarity |  n. 团结
eighty |  num.&amp;adj. 八十 // pron. 八十(个,只...)
mat |  n. 垫,丛,衬边,消光面 // vt. 遮盖, 保护, 用垫子装饰, 使纠缠,铺席于...上,使...无光泽,给(照片)镶框 // vi. 缠结
operator |  n. 操作员,管理者,技工,报务员
amplify |  v. 扩大, 详述, 使...增幅
razor |  n. 剃刀
cemetery |  n. 公墓,墓地
cover |  n. 封面, 盖子, 表面 // v. 覆盖, 涉及, 包含
fax |  n. 传真 // v. 传真
conventional |  adj. 普通的,常见的,习惯的,常规的
outlet |  n. 出口, 出路, 通风口, 批发商店
portfolio |  n. 文件夹，作品集，证券投资组合
finish |  n. 完成,最后加工,结局,完美 // vt. 结束,获...第几名 // vi. 终结,完成
scorn |  n. 轻蔑, 被叱责的人 // v. 轻蔑, 不屑做
plentiful |  adj. 丰富的, 多的，充裕的
heal |  vt. 痊愈,恢复,和解 // vi. 痊愈
thrive |  vi. 兴旺,繁荣
concentration |  n. 集中, 专心, 浓度
motivate |  v. 给与动机,刺激,提高...的学习欲望
pledge |  n. 保证,誓言,抵押,抵押品 // vt. 保证,誓言,举杯祝...健康
concerning |  prep. 关于
petition |  n. 祈求,请愿书,诉状 // vi. 请愿,祈求 // vt. 向...请愿或祈求
finding |  n. 发现, 发现物，调查(或研究)的结果，[律] 裁判，裁决 // (复数）findings：（珠宝商等使用的）零碎的工具或材料 // find的现在分词
fluid |  adj. 流畅优美的,流体的,流动的,不稳定的 // n. 流体,液体
converge |  vi. 聚合,集中于一点 // vt. 使集合
thumb |  n.拇指； （手套的）拇指部份 // vi.翘起拇指请求搭乘（过路汽车），示意请求搭便车； 翻阅 // vt.翻阅； 作搭车手势； 用拇指翻脏[翻坏]（书页等）
captive |  n. 俘虏, 迷恋者 // adj. 被俘的, 被迷住的
ventilate |  vt. 使...空气流通，通风
mislead |  vt. 误导，使产生错误印象，欺骗，使误入歧途
blunder |  n. 大错, 大失策 // v. 失策, 绊倒, 弄糟
commission |  n. 委任(状), 任官令; 委员会 // n. 佣金; 犯罪行为 // vt. 委任, 委托; 使服役
permission |  n. 同意,许可,允许
start |  n.开始； 动身； 开动； 起点 // vt.& vi.出发，启程 // vt.起动； 提出（问题）； 开办； 使开始 // vi.起始； 突然出现； 突然跳起； 突然涌出
put |  vt. 放,安置, 使处于 // vi. 提交, 记下
investigate |  vt. &vi. 调查,研究 // [计算机] 研究
radioactive |  adj. 放射性的
gear |  n. 齿轮,传动装置,设备,工具 // vt. &vi. 使适应于,以齿轮连起,配搭活动,调整
dimension |  n. 尺寸, 次元, 容积, 维度 // n. 范围; 方面 // vt. 标尺寸; 形成...尺寸
mug |  n. 杯,脸,一杯的量,恶棍 // vi. 扮鬼脸 // vt. 攻击,打劫
romance |  n. 冒险故事, 浪漫史, 传奇文学
right |  adj. 正确的,正直的,合适的,垂直的,右面的，正常的,正面的 // n. 权利,右，正义，实况 // adv. 正好,恰当,径直地,正确地,立即,非常,向右边 // vt. 纠正,扶直,公正对待,伸冤 // vi. 复正
flood |  n. 洪水,水灾 // v. 淹没,溢出 // vi. 大量涌到,泛滥 // vt. 灌溉,淹没
gender |  n. 性,性别 // vt.& vi. 产生,发生
butterfly |  n. 蝴蝶,蝶状物,蝶泳 // vt. (烹饪时把鱼肉等）切开摊平
craft |  n. 工艺, 手艺, 狡诈，航空器, 行会成员 // vt. 手工制作
reluctant |  adj. 不情愿的,勉强的
kilometre |  n. 公里, 千米
frank |  adj. 坦白的,直率的,无误的 // vt. 免费邮寄,使自由出入 // n. 免费邮寄
hasty |  adj. 匆匆的, 轻率的, 急忙的
phone |  n. 音位,电话,耳机 // vt. &vi. 打电话
marble |  adj. 大理石的,冷酷的 // n. 大理石 // vt.使有大理石的花纹
coal |  n. 煤, 木炭, 运煤工 // vt. 烧成炭,供应煤 // vi. 装煤, 加煤
skyscraper |  n. 摩天大楼
tub |  n. 桶, 浴盆 // v. 装入桶, 洗澡
deviate |  vt. 使偏离, 脱离 // vi. 违背,偏离 // n. 叛离者,偏差, 不正常的人或物 // adj. 离经叛道的
decent |  adj. 有分寸的,得体的,相当好的
shout |  n. 呼喊,突发的大叫 // vt. 高声呼喊，呼叫 // vi. 呼叫，突然喊叫
breast |  n. 胸脯,乳房 // vt. 挺胸迎...而上
price |  n. 价格,代价,价值 // vt. 定格,标价,比较价格
juvenile |  adj. 年轻的,青少年的,幼稚的 // n. 青少年,青少年读物,幼雏,扮演少年的演员
inquiry |  n. 打听, 询问, 调查, 查问 // =enquiry(英)
panda |  n. 熊猫
virgin |  n. 处女,未婚女子 // adj. 纯洁的, 原始的，未开发的 // 维尔京群岛
storey |  n. 楼层 // =story（美）
birthday |  n. 生日
organic |  adj. 器官的,有机的,根本的,接近自然的 // n. 有机物质
quench |  v. 熄减, 结束, 冷浸, 解渴
poor |  adj.贫穷的，贫乏的； 令人怜悯的，可怜的； 匮乏的； 低劣的 // n.the poor 贫困者，穷人
liner |  n. 班机, 班轮
ago |  adv. 以前
work |  n. 工作,作用,成果,作品,善行,工艺,奏效,建筑工程,工厂,(机械)活动部件 // adj. 工作的 // vi. 创造, 实现, 有工作, 起作用, 操作, 正常运转, 成功, 产生影响, 逐渐进行, 处理 // vt. 造成, 产生, 使运转, 锻造, 奋力达到, 利用
agony |  n. (极度的)痛苦,创痛
spirit |  n. 精神
calorie |  n. 卡，卡路里(热量单位) // =calory
security |  n.安全； 保证，担保； 保护，防护； 有价证券 // adj.安全的，保安的，保密的
shed |  n. 车棚,小屋,脱落物 // vt. 使...流出,散发,脱落,除掉
coordinate |  n. 同等的人物; (色调, 图案, 样式等)配套服装 // adj. 同等的, 等位的; (大学)男女分院制的 // v. 协调, 整合; 使一致 // [计算机] 坐标
handbook |  n. 手册, 指南
cool |  adj. 凉的,凉快的,冷静的,冷色系的 // adv. 冷静地 // n. 凉快 // vt. &vi. (使)变凉,(使)冷静
hook |  n. 钩子,钩拳 // vt. &vi.钩住
signal |  n. 信号,导火线,动机 // vt. 发信号,标志 // vi. 发信号 // adj. 显著的
Tuesday |  n. 星期二
cent |  n. 分
angle |  n. 角(度),角落 // vt. 斜移,转变角度 // vi. 钓鱼,谋取,转变角度 // n. (Angle)盎格鲁人
repay |  v. 偿还,报答，还钱给
false |  adj. 不真实的,错误的,人造的,假的,虚伪的 // adv. 不真诚地,虚伪地
poetry |  n. 诗歌
contaminate |  vt. 弄脏,污染
software |  n. 软件
inclusive |  adj. 包含...在内的, 包罗广泛的, 包括端点的 // [计算机] 包括的
postcard |  n. 明信片 // adj. 如画的
flag |  n. 旗标,旗子,信号旗 // vt. 打旗号 // vi. 无力地下垂,减退
serial |  n. 序列，串列 // adj. 连续的，一连串的
niece |  n. 侄女,外甥女,教士的私生女
refresh |  vt.& vi. 使...生气蓬勃,提起精神,恢复精神
guitar |  n. 吉他 // vi. 弹吉他
boycott |  vt. 抵制（贸易），拒绝参加
amount |  n. 数量, 总额 // vi. 总计, 等于
graceful |  adj. 优雅的
population |  n. 人口
mental |  adj. 精神的,脑力的,精神错乱的,传心术的,[解剖学]颏的
journey |  n. 旅程, 旅行, 行程 // v. 旅行
music |  n. 音乐,伴奏,美妙的声音
total |  adj.总计的（金额等）； 全部的； 完全的； 绝对的 // n.总计，总数； 全体数量 // vt.& vi.总计达，计算…的总数
condition |  n. 情况, 条件 // v. 以...为条件, 决定, 支配, 训练
slot |  n. 水沟,细长的孔,狭缝,职位, 插槽, (鹿的)踪迹 // vt. 留细长的孔,插入, 放置 // vi. 适用于
margin |  n. 差额,利润,页边空白,边缘 // vt. 使围绕于,加边缘
behind |  adv. 在后面,落后,迟地 // adj. 后面的, 落后的, 迟的, 慢的 // prep. 在...之后,落后于,掩盖,基于,支持 // n. 屁股
sensible |  adj. 可察觉的,意识到的,实用的 // n. 可感知物
mountain |  n. 山,山脉,大量
subtle |  adj. 微妙的,敏感的,精细的,狡诈的,不明显的
compact |  adj. 紧凑的,紧密的,简洁的 // v. 使装满,使简洁
material |  n. 材料, 原料, 物质; // n. 素材, 题材, 资料 // adj. 物质的, 实体的; 身体上的, 肉体的 // adj. 重要的, 关键的
freedom |  n. 自由
investment |  n. 投资,投入,投资额
tramp |  n. 沉重的脚步声, 流浪者 // v. 脚步沉重地缓缓行走, 踏, 流浪
expedition |  n. 远征,探险队,迅速
available |  adj. 可用的,可得到的,有用的，有效的
admit |  vt.& vi.许可进入； 承认，供认 // vt.允许； 确认 // vi.承认； 允许
deadline |  n. (鉴于边上的)警戒线,最后期限,截止时间
soccer |  n. 英式足球
twice |  adv. 两倍, 两次
bounce |  n. 跳,反跃,(活)弹力 // vt. 弹跳,向...透露注意 // vi. 弹起,重新恢复
last |  adj. 最后的,末尾的,最近的,晚了，迟到了 // adv. 最后,最新 // n. 最后来的人（或发生的事） // vi. &vt. 持续
really |  adv. 真正地,实在，事实上
unanimous |  adj. 全体一致的, 一致同意的
mobile |  adj. 可移动的,易变的,迁徙的, 流动的 n. (可随风飘动的)悬挂装置, 可动雕塑
scholarship |  n. 奖学金, 学问, 学识
sophomore |  n. 大学二年级生(在企业中工作第二年的人)
satellite |  n. 卫星,卫星城,随从
violate |  vt. 违犯, 亵渎, 干扰, 侵犯, 强奸
lover |  n. 爱好者, 情人
salt |  n.盐； 风趣； 机智，讽刺； 药用盐，泻盐 // vt.撒盐； 用盐渍； 加盐以调味； 为…增加趣味 // adj.含盐的； 有咸味的； 盐渍的
emperor |  n. 皇帝
plate |  n. 碟,盘,金属板,板块 // vt. 镀金,电镀,为...制印版,, 给...装钢板,用金属板固定
stake |  n. 木桩,赌注,股份 // vt. 打赌,下赌注；用桩支撑
confer |  vi. 商讨 // vt. 赠予,授予
soap |  n. 肥皂 // vt. 用肥皂洗,阿谀奉承
dusk |  n. 黄昏,薄暮 // vi. (天)变黑,变暗 // vt. 把…变黑变暗 // adj. 颜色暗沉的,昏暗的
temper |  n. 脾气；（钢等）回火；性情；倾向 // vt. 使回火；锻炼；调和；使缓和 // vi. 回火；调和
